regs;inst;popS;gen;mutInst;mutRegs;cross;count;good_fitness;function_dir;final_function;final_fitness;stagnation;start_diversity;end_diversity;found_generation;seed_dir;parameter_combination
5;5;10;500000;0.05;0.3;0.7;6;[True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1.0)', '0.5*x_0/(x_1 + 1)', '0.5/((x_1 + 1.0)/x_0)**1.0', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.079579680377742499*x_0/x_1**2'];[0.0, 0.0, 1.5869662741750824e-33, 7.826979293989727e-33, 6.042605200514952e-35, 3.793379122840676e-12];[99.9938, 99.9976, 99.9952, 99.994, 99.9926, 99.9908];[90.0, 100.0, 100.0, 100.0, 100.0, 100.0];[80.0, 80.0, 80.0, 50.0, 80.0, 70.0];[42620, 1503, 222454, 72569, 8320, 391837];['seed_2', 'seed_5', 'seed_3', 'seed_1', 'seed_5', 'seed_3'];5_5_10_500000_0.05_0.3_0.7
5;5;10;500000;0.05;0.4;0.2;4;[True, True, True, True];['II.38.14', 'I.27.6', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 7.588163980885709e-33, 5.600243166413509e-35, 5.730393900936553e-35];[99.997, 99.9922, 99.9938, 99.9948];[100.0, 100.0, 100.0, 100.0];[90.0, 40.0, 100.0, 100.0];[2489, 377100, 61279, 188232];['seed_1', 'seed_4', 'seed_1', 'seed_4'];5_5_10_500000_0.05_0.4_0.2
5;5;10;500000;0.05;0.5;0.0;6;[True, True, True, True, True, True];['II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1.0)', '0.5*x_0/(x_1 + 1.0)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2.0', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[1.3943732797363588e-33, 0.0, 8.481795475081387e-33, 4.6365258778353647e-35, 8.316105314553323e-35, 6.042605200514952e-35];[99.9952, 99.996, 99.996, 99.9924, 99.9946, 99.9904];[90.0, 100.0, 100.0, 90.0, 100.0, 100.0];[100.0, 90.0, 30.0, 100.0, 100.0, 100.0];[20017, 6061, 417490, 345160, 16181, 373749];['seed_2', 'seed_1', 'seed_4', 'seed_2', 'seed_5', 'seed_4'];5_5_10_500000_0.05_0.5_0.0
5;5;10;500000;0.05;0.5;0.2;5;[True, True, True, True, True];['II.38.14', 'I.27.6', 'II.3.24', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1.0)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 9.105796777062851e-33, 7.271137856446341e-35, 8.292031190248482e-35, 7.068012432624251e-35];[99.9938, 99.9864, 99.9938, 99.9928, 99.9958];[100.0, 100.0, 100.0, 100.0, 100.0];[100.0, 60.0, 100.0, 90.0, 100.0];[399026, 322511, 66027, 86463, 21148];['seed_4', 'seed_3', 'seed_1', 'seed_5', 'seed_4'];5_5_10_500000_0.05_0.5_0.2
5;5;10;500000;0.05;0.5;0.3;5;[True, True, True, True, True];['II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 0.9999999999999999)', '0.5*x_0/(x_1 + 1)', 'x_0*x_1/(1.0*x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 1.5946699939526308e-33, 0.0, 0.0, 3.4741970637422866e-35];[99.9908, 99.994, 99.9954, 99.993, 99.9944];[100.0, 100.0, 100.0, 100.0, 100.0];[100.0, 100.0, 90.0, 100.0, 90.0];[248884, 167245, 227403, 20175, 11768];['seed_5', 'seed_3', 'seed_3', 'seed_5', 'seed_4'];5_5_10_500000_0.05_0.5_0.3
5;5;10;500000;0.05;0.6;0.1;8;[True, True, True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'I.27.6', 'I.27.6', 'II.3.24', 'II.3.24'];['x_0/(2*x_1 + 2.0)', '0.5*x_0/(x_1 + 1.0)', '0.5*x_0/(x_1 + 1)', 'x_0*x_1/(x_0*x_2 + x_1)', 'x_0*x_1/(x_0*x_2 + x_1)', '1.0*x_0*x_1/(x_0*x_2 + x_1)', '0.3183098861837907*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 0.0, 0.0, 7.588163980885709e-33, 7.588163980885709e-33, 0.0, 3.705910510176376e-35, 8.501175145146781e-35];[99.9924, 99.9942, 99.9978, 99.9982, 99.99, 99.9938, 99.9974, 99.9946];[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 90.0, 100.0];[90.0, 100.0, 90.0, 40.0, 10.0, 100.0, 100.0, 100.0];[83709, 28856, 2799, 5143, 400269, 107896, 102682, 206890];['seed_1', 'seed_4', 'seed_3', 'seed_5', 'seed_4', 'seed_3', 'seed_2', 'seed_5'];5_5_10_500000_0.05_0.6_0.1
5;5;10;500000;0.05;0.6;0.15;7;[True, True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'I.27.6', 'II.3.24'];['x_0/(2*x_1 + 2.0)', '0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1.0)', '0.5*x_0/(x_1 + 1)', 'x_0*x_1/(x_0*x_2 - 3.469446951953614e-17*x_0 + x_1)', 'x_0*x_1/(x_0*x_2 + 1.0*x_1)', '0.07957747154594767*x_0/x_1**2'];[0.0, 1.3943732797363588e-33, 1.3943732797363588e-33, 0.0, 7.996461129095804e-33, 6.994977558014439e-33, 1.6758599781707052e-34];[99.9918, 99.9954, 99.9966, 99.9978, 99.992, 99.997, 99.9932];[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0];[90.0, 100.0, 100.0, 80.0, 100.0, 100.0, 100.0];[238159, 96656, 218749, 2799, 12496, 15685, 221649];['seed_1', 'seed_5', 'seed_4', 'seed_3', 'seed_1', 'seed_5', 'seed_1'];5_5_10_500000_0.05_0.6_0.15
5;5;10;500000;0.05;0.6;0.6;7;[True, True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'I.27.6', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1.0)', 'x_0/(2*x_1 + 2.0)', 'x_0*x_1/(x_0*x_2 + x_1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.7853981633974482*x_0/x_1**2', '0.07957747154594768*x_0/x_1**2'];[2.3843012711513978e-33, 0.0, 0.0, 8.489499194858935e-33, 9.105796777062851e-33, 8.119750738191967e-35, 4.6688754823699946e-35];[99.9942, 99.9916, 99.9966, 99.9916, 99.997, 99.9948, 99.9894];[100.0, 100.0, 100.0, 100.0, 100.0, 90.0, 100.0];[20.0, 100.0, 90.0, 50.0, 20.0, 100.0, 100.0];[31816, 204556, 3602, 195154, 1402, 17122, 142538];['seed_1', 'seed_4', 'seed_3', 'seed_2', 'seed_5', 'seed_2', 'seed_4'];5_5_10_500000_0.05_0.6_0.6
5;5;10;500000;0.07;0.2;0.2;4;[True, True, True, True];['II.38.14', 'II.38.14', 'I.27.6', 'II.3.24'];['0.5*x_0/(x_1 + 1.0)', '0.5*x_0/(x_1 + 1)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2'];[0.0, 0.0, 0.0, 0.0];[99.9936, 99.9964, 99.9942, 99.993];[90.0, 100.0, 100.0, 100.0];[60.0, 70.0, 70.0, 90.0];[57121, 8327, 151816, 17236];['seed_2', 'seed_5', 'seed_2', 'seed_5'];5_5_10_500000_0.07_0.2_0.2
5;5;10;500000;0.07;0.4;0.15;6;[True, True, True, True, True, True];['II.38.14', 'II.38.14', 'II.38.14', 'I.27.6', 'II.3.24', 'II.3.24'];['0.5*x_0/(x_1 + 1.0)', '0.5*x_0/(x_1 + 1)', '0.5*x_0/(x_1 + 1.0)', 'x_0*x_1/(x_0*x_2 + x_1)', '0.07957747154594767*x_0/x_1**2', '0.07957747154594767*x_0/x_1**2'];[0.0, 0.0, 0.0, 0.0, 4.006084747602356e-35, 2.68426485998971e-35];[99.9956, 99.9948, 99.9936, 99.9918, 99.9956, 99.9946];[100.0, 100.0, 100.0, 100.0, 90.0, 100.0];[80.0, 100.0, 90.0, 80.0, 100.0, 90.0];[41064, 120681, 9373, 185937, 25877, 149448];['seed_5', 'seed_4', 'seed_3', 'seed_1', 'seed_2', 'seed_5'];5_5_10_500000_0.07_0.4_0.15
